id,publication_date,title,slug,place_id,description,site_url,favorites_count,comments_count,rating
51326,2024-09-10,В Петербурге заметили уличное пианино,v-peterburge-zametili-ulichnoe-pianino,null,<p>На нём просят не играть ночью.</p>,https://kudago.com/spb/news/v-peterburge-zametili-ulichnoe-pianino/,0,0,0.5
51325,2024-09-10,Apple провела презентацию новинок 2024 года,apple-provela-prezentatsiyu,null,<p>Покупателям представили улучшенные модели смартфонов, часов и наушников.</p>,https://kudago.com/all/news/apple-provela-prezentatsiyu/,0,0,0.5
51324,2024-09-10,В Удельном парке белки устраивают грибной дождь,posetitelej-udelnogo-parka,null,<p>Особую осторожность следует проявлять в районе дубовой поляны.</p>,https://kudago.com/spb/news/posetitelej-udelnogo-parka/,0,0,0.5
51319,2024-09-10,Об актуальности служб дезинсекции,ob-aktualnosti-sluzhb,null,<p>Чаще всего профессиональную обработку рассматривают предприятия, офисы, рестораны и кафе, а также жилые дома и квартиры. В случае с помещениями коммерческого предназначения подобные мероприятий обязательны и проходят в соответствии с требованиями и рекомендациями действующего законодательства. Отели, общеобразовательные организации, медицинские учреждения, производства любого характера, места общественного питания, санатории и туристические базы также должны быть на страже чистоты и порядка.</p>,https://kudago.com/all/news/ob-aktualnosti-sluzhb/,0,0,0.5
51323,2024-09-10,Москвичи смогут наблюдать северное сияние,moskvichi-smogut-nablyudat-severnoe-siyanie,null,<p>Магнитная буря раскрасит небо в яркие цвета.</p>,https://kudago.com/msk/news/moskvichi-smogut-nablyudat-severnoe-siyanie/,0,0,0.5
51322,2024-09-10,Новая экотропа появилась в Ленобласти,novaya-ekotropa-poyavilas-v-lenoblasti,null,<p>Её обустройство заняло год.</p>,https://kudago.com/spb/news/novaya-ekotropa-poyavilas-v-lenoblasti/,0,0,0.5
51321,2024-09-10,Погода в Москве на 10 сентября 2024,pogoda-v-moskve-na-10-sentyabrya-10-09-2024,null,,https://kudago.com/msk/news/pogoda-v-moskve-na-10-sentyabrya-10-09-2024/,0,0,0.5
51316,2024-09-09,В Ленобласти пожарные спасли пса из люка коллектора,v-lenoblasti-pozharnyie-spasli-psa,null,<p>Он угодил в ловушку, когда вышел на утреннюю пробежку.</p>,https://kudago.com/spb/news/v-lenoblasti-pozharnyie-spasli-psa/,0,0,0.5
51314,2024-09-09,В Адыгее сплели самую длинную в истории  России сырную косу,samaya-dlinnaya-syrnaya-kosa-rossii,null,<p>Её изготовили во время гастрономического фестиваля.</p>,https://kudago.com/all/news/samaya-dlinnaya-syrnaya-kosa-rossii/,0,0,0.5
51315,2024-09-09,Стал известен победитель чемпионата по «Камень, ножницы, бумага» в Москве,pobeditel-chempionata-po-kamen-nozhnicy-bumaga-v-moskve,null,<p>Выиграл участник из ЮАО.</p>,https://kudago.com/msk/news/pobeditel-chempionata-po-kamen-nozhnicy-bumaga-v-moskve/,0,0,0.5
51313,2024-09-09,У Москвы появился фирменный чай,u-moskvy-poyavilsya-firmennyj-chaj,null,<p>Победил ягодно-цветочный купаж. </p>,https://kudago.com/msk/news/u-moskvy-poyavilsya-firmennyj-chaj/,0,0,0.5
51312,2024-09-09,«Сёгун» установил рекорд по числу выигранных Creative Arts Emmys,syogun-ustanovil-rekord-po,null,<p>Также награда досталась Джейми Ли Кёртис.</p>,https://kudago.com/all/news/syogun-ustanovil-rekord-po/,0,0,0.5
51311,2024-09-09,В Москве открыли первую очередь кинопарка «Москино»,v-moskve-otkryili-pervuyu-ochered,null,<p>На территории оборудовали павильоны и натурные локации для разнообразных съёмок. </p>,https://kudago.com/msk/news/v-moskve-otkryili-pervuyu-ochered/,0,0,0.5
51310,2024-09-09,Стали известны лауреаты Венецианского кинофестиваля,laureaty-venecianskogo-kinofestivalya-2024,null,<p>Главный приз получил Педро Альмодовар.</p>,https://kudago.com/all/news/laureaty-venecianskogo-kinofestivalya-2024/,0,0,0.5
51309,2024-09-09,The Weeknd поделился обложкой нового альбома,the-weeknd-podelilsya-oblozhkoj,null,<p>И его названием.</p>,https://kudago.com/all/news/the-weeknd-podelilsya-oblozhkoj/,0,0,0.5
51308,2024-09-09,Фестиваль Beat Weekend 2024 представил программу для Санкт-Петербурга,festival-beat-weekend-2024,null,<p>На показы пригласили экспертных гостей под тематику каждого фильма. </p>,https://kudago.com/spb/news/festival-beat-weekend-2024/,0,0,0.5
51307,2024-09-09,Чёрные лисички и многоглавые боровики: грибники Петербурга и Ленобласти делятся фотографиями трофеев,gribniki-peterburga-i-lenoblasti-delyatsya-fotografiyami,null,<p>Жара грозит сорвать осенний сезон сбора грибов.</p>,https://kudago.com/spb/news/gribniki-peterburga-i-lenoblasti-delyatsya-fotografiyami/,0,0,0.5
51306,2024-09-09,На территории МГТУ имени Баумана открыли несколько крупных объектов,na-territorii-mgtu-imeni-baumana,null,<p>У студентов появилась вся необходимая инфраструктура для учёбы и общения.</p>,https://kudago.com/msk/news/na-territorii-mgtu-imeni-baumana/,0,0,0.5
51285,2024-09-09,Москва глазами писательницы Яны Сороки: о красивых дворцах и неочевидных локациях,moskva-glazami-pisatelnicy-yany-soroki,null,<p>В рубрике <a href="https://kudago.com/msk/activity/gorod-glazami/">Город глазами</a> мы гуляем по Москве и смотрим на неё глазами наших героев. Новой гостьей стала журналистка и автор книг «Потайные двери Москвы» и «Ключи от Москвы» Яна Сорока. Предлагаем вместе отправиться в виртуальную и реальную прогулку по любимым местам Яны в Москве. Прямо по курсу: красивые особняки и дворцы, необычные и неочевидные места и гастрономические открытия. </p>,https://kudago.com/msk/news/moskva-glazami-pisatelnicy-yany-soroki/,0,0,0.5
51234,2024-09-09,Город глазами художника Никаса Сафронова,gorod-glazami-hudozhnika-nikasa,257,<p>В Петропавловской крепости стартовала персональная выставка художника Никаса Сафронова под названием «Большая Любовь к Петербургу». Мы встретились с ним на её открытии и поговорили с ним о том, каким он <a href="https://kudago.com/spb/activity/gorod-glazami/">видит</a> <a href="https://kudago.com/spb/" title="афиша спб">Северную столицу</a>. Вот что из этого получилось.</p>,https://kudago.com/all/news/gorod-glazami-hudozhnika-nikasa/,0,0,0.5
51305,2024-09-09,В Петербурге продолжается лето,v-peterburge-prodolzhaetsya-leto,null,<p>Эта неделя будет сухой и тёплой.</p>,https://kudago.com/spb/news/v-peterburge-prodolzhaetsya-leto/,0,0,0.5
